Week,ACR/Instrument Technician,Electrician,ET/CAO,Mechanic,Ursa Utilities Crane Mechanic,Ursa Utilities Solar Mechanic,Ursa Bilfinger Maintenance Crew
0,252,252,126,315,63,63,420
1,252,252,126,315,63,63,420
2,252,252,126,252,63,63,420
3,252,252,126,252,63,63,420
4,252,252,126,315,63,63,420
5,252,252,126,315,63,63,420
6,252,252,126,252,63,63,420
7,252,252,126,252,63,63,420
8,252,252,126,315,63,63,420
9,252,252,126,315,63,63,420
10,252,252,126,252,63,63,420
11,252,252,126,252,63,63,420
12,252,252,126,315,63,63,420
13,252,252,126,315,63,63,420
14,252,252,126,252,63,63,420
15,252,252,126,252,63,63,420
16,252,252,126,315,63,63,420
17,252,252,126,315,63,63,420
18,252,252,126,252,63,63,420
19,252,252,126,252,63,63,420
20,252,252,126,315,63,63,420
21,252,252,126,315,63,63,420
22,252,252,126,252,63,63,420
23,252,252,126,252,63,63,420
24,252,252,126,315,63,63,420
25,252,252,126,315,63,63,420
26,252,252,126,252,63,63,420
27,252,252,126,252,63,63,420
28,252,252,126,315,63,63,420
29,252,252,126,315,63,63,420
30,252,252,126,252,63,63,420
31,252,252,126,252,63,63,420
32,252,252,126,315,63,63,420
33,252,252,126,315,63,63,420
34,252,252,126,252,63,63,420
35,252,252,126,252,63,63,420
36,252,252,126,315,63,63,420
37,252,252,126,315,63,63,420
38,252,252,126,315,63,63,420
39,252,252,126,252,63,63,420
40,252,252,126,252,63,63,420
41,252,252,126,315,63,63,420
42,252,252,126,315,63,63,420
43,252,252,126,252,63,63,420
44,252,252,126,252,63,63,420
45,252,252,126,315,63,63,420
46,252,252,126,315,63,63,420
47,252,252,126,252,63,63,420
48,252,252,126,252,63,63,420
49,252,252,126,315,63,63,420
50,252,252,126,315,63,63,420
51,252,252,126,252,63,63,420
52,252,252,126,252,63,63,420
